가게,店
사이다,サイダー
사이즈,サイズ
사인하다,サインする
사장,社長
사전,事典、辞典、辞書
사진,写真
사진기,写真機、カメラ
사촌,いとこ
사탕,飴、キャンディー
사흘,３日、３日間
산,山
산책,散策、散歩
살,～歳
살다,生きる、暮らす、住む
삼,3
삼거리,三つ角、三叉路
삼계탕,サムゲタン（蓼鶏湯）
삼십,30
삼월,３月
삼촌,（父方の）おじ
상관,関係
상자,箱、ボックス
상처,傷
상품,商品
새,新しい、鳥
새로,新しく
새벽,深夜、未明、明け方
새우,えび
색,色
색깔,色
샌드위치,サンドウィッチ
생각,考え、思想
생각되다,考えられる、思われる
생각하다,考える
생기다,生じる
생선,魚（料理）
생신,（目上の人の）誕生日
생일,誕生日
생활,生活
샤워하다,シャワーする
샴푸,シャンプー
서다,立つ、（時計の針などが）止まる
서로,互いに、共に
서류,書類
서른,30
서비스,サービス
서양,西洋
서울,ソウル
서울역,ソウル駅
서점,書店、本屋
서쪽,西、西側
선물,プレゼント
선배,先輩
선생님,先生
선수,選手
선택하다,選択する、選ぶ
선풍기,扇風機
설거지,皿洗い
설날,（旧正月の）元旦
설렁탕,ソルロンタン
설명,説明
설명하다,説明する
설악산,雪岳山
설탕,砂糖
섬,島
성,姓、名字
성격,性格
성함,お名前
세계,世界
세수하다,洗顔する
세우다,たてる
세일하다,セールする
세탁기,洗濯機
세탁소,クリーニング屋
센터,センター
센티미터,センチメートル
셋,3
셋째,第３の～、３番目の～
소,牛
소개,紹介
소개하다,紹介する
소고기,牛肉
소금,塩
소리,音、声
소설,小説
소설가,小説家
소식,消息、便り
소파,ソファー
소포,小包
소풍,遠足
소화제,消化剤
속,中
손,手
손가락,手の指
손님,お客さま
손수건,ハンカチ
송이,（花などの）房
쇼핑,ショッピング
수건,タオル、手ぬぐい
수도,首都
수돗물,水道水
수박,すいか
수술하다,手術する
수업,授業
수영,水泳
수영복,水着
수영장,プール
수요일,水曜日
수저,箸とスプーン
수첩,手帳
수학,数学
숙제,宿題
순서,順序、順番
숟가락,スプーン
술,酒
쉬다,休む
쉰,50
쉽다,簡単だ
슈퍼마켓,スーパーマーケット
스물,20
스웨터,セーター
스케이트,スケート
스키,スキー
스키장,スキー場
스타,スター
스타킹,ストッキング
스트레스,ストレス
스페인어,スペイン語
스포츠,スポーツ
슬퍼하다,悲しむ
슬프다,悲しい
습관,習慣、くせ
시,市、時
시간,時間
시간표,時間表、時刻表
시계,時計
시골,いなか
시끄럽다,うるさい
시내,市内、小川
시다,酸っぱい
시디,CD
시민,市民
시설,施設
시외,市外
시원하다,涼しい、爽快だ
시월,１０月
시작,始まり
시작되다,始まる
시작하다,始める
시장,市場
시청,市役所
시키다,～させる、注文する
시험,試験
식당,食堂
식사,食事
식탁,食卓
신,新、神
신다,履く
신문,新聞
신발,履物、靴
신청서,申請書
신청하다,申請する
실례,失礼
실례하다,失礼する
실수,失敗、ミス
싫다,嫌いだ
싫어하다,嫌う
심하다,ひどい、（度が）過ぎる
십,10
십이월,１２月
십일월,１１月
싱겁다,（味が）薄い
싶다,～したい
싸다,包む、安い
싸우다,けんかする、争う
쌀,米
쌀밥,米飯、ごはん
쌓이다,積もる
썰다,切る
쓰기,書くこと、書き取り
쓰다,書く、使う、めがねをかける
쓰레기,ごみ
쓰이다,使われる、使える
씨,～氏
씩,～ずつ
씹다,噛む
씻다,洗う
아가씨,お嬢さん
아기,赤ちゃん、幼児
아까,さっき
아내,妻
아뇨,いいえ
아니다,～でない
아니오,いいえ
아니요,いいえ
아들,息子
아랍어,アラビア語
아래,下
아름답다,美しい
아마,多分、おそらく
아무,何（もない）、誰（もいない）
아버님,お父様
아버지,父
아빠,パパ
아시아,アジア
아이,子供
아이스크림,アイスクリーム
아저씨,おじさん
아주,とても、完全に
아주머니,おばさん
아줌마,おばさん
아직,まだ、いまだに
아침,朝、朝食
아침밥,朝ご飯
아침식사,朝食
아파트,アパート、マンション
아프다,痛い、病気だ
아프리카,アフリカ
아홉,9
아흔,90
악기,楽器
안,～しない、中
안경,眼鏡
안내하다,案内する
안녕하세요,こんにちは
안녕하십니까,こんにちは
안다,抱く
안전하다,安全だ
앉다,座る
알다,知る、分かる
알리다,知らせる
알맞다,ふさわしい、適当だ
알았습니다,わかりました
앞,前
애,子供
액세서리,アクセサリ
야구,野球
야채,野菜
약,約～、薬
약간,若干、少し
약국,薬局
약사,薬剤師
약속,約束
얇다,薄い
양,量
양말,靴下
양복,スーツ、背広
양식,洋食
양파,たまねぎ
얘기하다,話す
어깨,肩
어느,どの～
어둡다,暗い
어디,どこ
어떤,どんな
어떻게,どのように
어떻다,どうだ
어떻습니까?,どうですか
어렵다,難しい
어른,大人
어리다,幼い
어린이,子供
어머,まあ、おや（女性が使う）
어머니,母
어머님,お母様
어서,はやく
